group,parameter,minimum,base,maximum,unit,distribution_or_sweep,status,source_ids
thermal,interposer_conductivity_w_per_mk,100.0,130.0,150.0,W_per_mK,triangular_low_base_high,rounded_silicon_assumption,A5
thermal,interposer_thickness_mm,0.05,0.1,0.2,mm,triangular_low_base_high,package_assumption,A5
thermal,lid_conductivity_w_per_mk,120.0,200.0,400.0,W_per_mK,triangular_low_base_high,material_selection_assumption,A5
thermal,lid_thickness_mm,0.5,1.0,2.0,mm,triangular_low_base_high,package_assumption,A5
thermal,thermal_capacitance_j_per_k,0.008,0.02,0.05,J_per_K,triangular_low_base_high,transient_calibration_required,A5
thermal,vertical_conductance_w_per_mm2k,0.002,0.004,0.008,W_per_mm2K,triangular_low_base_high,calibration_required,A3;S5;S6
thermal,tsv_vertical_conductance_gain,1.0,3.0,6.0,ratio,triangular_low_base_high,compact_model_assumption,A3
thermal,temperature_limit_c,85.0,95.0,105.0,degC,triangular_low_base_high,design_constraint_assumption,A3
reserved_areas,phy_area_fraction,0.08,0.12,0.2,fraction,triangular_low_base_high,design_assumption,A1
reserved_areas,power_grid_area_fraction,0.05,0.08,0.15,fraction,triangular_low_base_high,design_assumption,A1
reserved_areas,clock_tree_area_fraction,0.01,0.03,0.08,fraction,triangular_low_base_high,post_CTS_measurement_required,A1
manufacturing_cost,wafer_cost_usd,5000.0,10000.0,20000.0,USD,triangular_low_base_high,placeholder_not_vendor_quote,A6
manufacturing_cost,wafer_diameter_mm,300.0,300.0,300.0,mm,fixed_scenario,cost_model_assumption,A6
manufacturing_cost,defect_density_per_cm2,0.05,0.2,0.5,per_cm2,loguniform_low_high,foundry_calibration_required,A6
manufacturing_cost,package_cost_usd,50.0,120.0,300.0,USD,triangular_low_base_high,placeholder_not_vendor_quote,A6
manufacturing_cost,stack_assembly_yield,0.7,0.9,0.98,fraction,beta_calibration_required,vendor_data_required,A6
manufacturing_cost,known_good_die_yield,0.8,0.95,0.995,fraction,beta_calibration_required,vendor_data_required,A6
