attempt,candidate_id,reason
38,cand_2f3606738436,tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH1_CA;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH1_CLK;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH1_DATA;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH1_GROUND;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH1_POWER;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH1_SPARE;tsv_keepout:top.logic_die_link_arbiter:TSV_CH2_CA;tsv_keepout:top.logic_die_link_arbiter:TSV_CH2_CLK;tsv_keepout:top.logic_die_link_arbiter:TSV_CH2_DATA;tsv_keepout:top.logic_die_link_arbiter:TSV_CH2_GROUND;tsv_keepout:top.logic_die_link_arbiter:TSV_CH2_POWER;tsv_keepout:top.logic_die_link_arbiter:TSV_CH2_SPARE;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_CA;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_CLK;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_DATA;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_GROUND;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_POWER;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_SPARE
39,cand_91094c824c94,tsv_keepout:top.bank_local_fp16_reduction:TSV_CH1_CA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH1_CLK;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH1_DATA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH1_GROUND;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH1_POWER;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH1_SPARE;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH2_CA;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH2_CLK;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH2_DATA;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH2_GROUND;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH2_POWER;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH2_SPARE;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_CA;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_CLK;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_DATA;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_GROUND;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_POWER;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_SPARE
47,cand_d2f13098515a,tsv_keepout:top.bank_local_fp16_reduction:TSV_CH1_CA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH1_CLK;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH1_DATA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH1_GROUND;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH1_POWER;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH1_SPARE;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH4_CA;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH4_CLK;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH4_DATA;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH4_GROUND;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH4_POWER;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH4_SPARE;tsv_keepout:top.hierarchical_reduction_path:TSV_CH3_CA;tsv_keepout:top.hierarchical_reduction_path:TSV_CH3_CLK;tsv_keepout:top.hierarchical_reduction_path:TSV_CH3_DATA;tsv_keepout:top.hierarchical_reduction_path:TSV_CH3_GROUND;tsv_keepout:top.hierarchical_reduction_path:TSV_CH3_POWER;tsv_keepout:top.hierarchical_reduction_path:TSV_CH3_SPARE
48,cand_0b3177bb2c68,tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH0_CA;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH0_CLK;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH0_DATA;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH0_GROUND;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH0_POWER;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH0_SPARE;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH2_CA;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH2_CLK;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH2_DATA;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH2_GROUND;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH2_POWER;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH2_SPARE;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_CA;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_CLK;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_DATA;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_GROUND;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_POWER;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH5_SPARE;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH3_CA;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH3_CLK;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH3_DATA;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH3_GROUND;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH3_POWER;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH3_SPARE
49,cand_c8a5846c79b5,tsv_keepout:top.bank_local_reduction_buffer:TSV_CH2_CA;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH2_CLK;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH2_DATA;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH2_GROUND;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH2_POWER;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH2_SPARE;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH1_CA;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH1_CLK;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH1_DATA;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH1_GROUND;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH1_POWER;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH1_SPARE
57,cand_57a813f6b6a8,tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH0_CA;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH0_CLK;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH0_DATA;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH0_GROUND;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH0_POWER;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH0_SPARE;tsv_keepout:top.logic_die_link_arbiter:TSV_CH5_CA;tsv_keepout:top.logic_die_link_arbiter:TSV_CH5_CLK;tsv_keepout:top.logic_die_link_arbiter:TSV_CH5_DATA;tsv_keepout:top.logic_die_link_arbiter:TSV_CH5_GROUND;tsv_keepout:top.logic_die_link_arbiter:TSV_CH5_POWER;tsv_keepout:top.logic_die_link_arbiter:TSV_CH5_SPARE;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH1_CA;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH1_CLK;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH1_DATA;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH1_GROUND;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH1_POWER;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH1_SPARE
58,cand_ecd68bbad198,tsv_keepout:top.logic_die_link_arbiter:TSV_CH1_CA;tsv_keepout:top.logic_die_link_arbiter:TSV_CH1_CLK;tsv_keepout:top.logic_die_link_arbiter:TSV_CH1_DATA;tsv_keepout:top.logic_die_link_arbiter:TSV_CH1_GROUND;tsv_keepout:top.logic_die_link_arbiter:TSV_CH1_POWER;tsv_keepout:top.logic_die_link_arbiter:TSV_CH1_SPARE;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH0_CA;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH0_CLK;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH0_DATA;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH0_GROUND;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH0_POWER;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH0_SPARE
59,cand_82738b8942f1,tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH1_CA;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH1_CLK;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH1_DATA;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH1_GROUND;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH1_POWER;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH1_SPARE;tsv_keepout:top.logic_die_link_arbiter:TSV_CH2_CA;tsv_keepout:top.logic_die_link_arbiter:TSV_CH2_CLK;tsv_keepout:top.logic_die_link_arbiter:TSV_CH2_DATA;tsv_keepout:top.logic_die_link_arbiter:TSV_CH2_GROUND;tsv_keepout:top.logic_die_link_arbiter:TSV_CH2_POWER;tsv_keepout:top.logic_die_link_arbiter:TSV_CH2_SPARE
67,cand_4661975c8993,tsv_keepout:top.bank_local_fp16_reduction:TSV_CH0_CA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH0_CLK;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH0_DATA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH0_GROUND;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH0_POWER;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH0_SPARE;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH4_CA;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH4_CLK;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH4_DATA;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH4_GROUND;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH4_POWER;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH4_SPARE;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_CA;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_CLK;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_DATA;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_GROUND;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_POWER;tsv_keepout:top.shared_fp16_pipeline_fabric:TSV_CH2_SPARE
68,cand_5bbb75187799,tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH5_CA;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH5_CLK;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH5_DATA;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH5_GROUND;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH5_POWER;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH5_SPARE
69,cand_844e6b9ae5ca,tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH3_CA;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH3_CLK;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH3_DATA;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH3_GROUND;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH3_POWER;tsv_keepout:top.logic_die_64ch_reduction_top:TSV_CH3_SPARE;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH2_CA;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH2_CLK;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH2_DATA;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH2_GROUND;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH2_POWER;tsv_keepout:top.logic_die_dual_link_arbiter:TSV_CH2_SPARE
77,cand_72de3797c1ea,tsv_keepout:top.bank_local_fp16_reduction:TSV_CH1_CA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH1_CLK;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH1_DATA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH1_GROUND;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH1_POWER;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH1_SPARE;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH5_CA;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH5_CLK;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH5_DATA;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH5_GROUND;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH5_POWER;tsv_keepout:top.bank_local_reduction_buffer:TSV_CH5_SPARE;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_CA;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_CLK;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_DATA;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_GROUND;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_POWER;tsv_keepout:top.hierarchical_reduction_path:TSV_CH1_SPARE
78,cand_822c18201fdb,tsv_keepout:top.bank_local_fp16_reduction:TSV_CH3_CA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH3_CLK;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH3_DATA;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH3_GROUND;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH3_POWER;tsv_keepout:top.bank_local_fp16_reduction:TSV_CH3_SPARE;tsv_keepout:top.hierarchical_reduction_path:TSV_CH2_CA;tsv_keepout:top.hierarchical_reduction_path:TSV_CH2_CLK;tsv_keepout:top.hierarchical_reduction_path:TSV_CH2_DATA;tsv_keepout:top.hierarchical_reduction_path:TSV_CH2_GROUND;tsv_keepout:top.hierarchical_reduction_path:TSV_CH2_POWER;tsv_keepout:top.hierarchical_reduction_path:TSV_CH2_SPARE;tsv_keepout:top.logic_die_link_arbiter:TSV_CH5_CA;tsv_keepout:top.logic_die_link_arbiter:TSV_CH5_CLK;tsv_keepout:top.logic_die_link_arbiter:TSV_CH5_DATA;tsv_keepout:top.logic_die_link_arbiter:TSV_CH5_GROUND;tsv_keepout:top.logic_die_link_arbiter:TSV_CH5_POWER;tsv_keepout:top.logic_die_link_arbiter:TSV_CH5_SPARE;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH0_CA;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH0_CLK;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH0_DATA;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH0_GROUND;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH0_POWER;tsv_keepout:top.shared_fp16_reduction_cluster:TSV_CH0_SPARE
